00001 A00     0 Cholera                                                      Cholera
00088 A0832   1 Astrovirus enteritis                                         Astrovirus enteritis
00089 A0839   1 Other viral enteritis                                        Other viral enteritis
00090 A084    1 Viral intestinal infection, unspecified                      Viral intestinal infection, unspecified
00091 A088    1 Other specified intestinal infections                        Other specified intestinal infections
00092 A09     1 Infectious gastroenteritis and colitis, unspecified          Infectious gastroenteritis and colitis, unspecified
00093 A15     0 Respiratory tuberculosis                                     Respiratory tuberculosis
00094 A150    1 Tuberculosis of lung                                         Tuberculosis of lung
00095 A154    1 Tuberculosis of intrathoracic lymph nodes                    Tuberculosis of intrathoracic lymph nodes
00096 A155    1 Tuberculosis of larynx, trachea and bronchus                 Tuberculosis of larynx, trachea and bronchus
00097 A156    1 Tuberculous pleurisy                                         Tuberculous pleurisy
00098 A157    1 Primary respiratory tuberculosis                             Primary respiratory tuberculosis
00099 A158    1 Other respiratory tuberculosis                               Other respiratory tuberculosis
00100 A159    1 Respiratory tuberculosis unspecified                         Respiratory tuberculosis unspecified
00101 A17     0 Tuberculosis of nervous system                               Tuberculosis of nervous system
00102 A170    1 Tuberculous meningitis                                       Tuberculous meningitis
00103 A171    1 Meningeal tuberculoma                                        Meningeal tuberculoma
00104 A178    0 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00105 A1781   1 Tuberculoma of brain and spinal cord                         Tuberculoma of brain and spinal cord
00106 A1782   1 Tuberculous meningoencephalitis                              Tuberculous meningoencephalitis
00107 A1783   1 Tuberculous neuritis                                         Tuberculous neuritis
00108 A1789   1 Other tuberculosis of nervous system                         Other tuberculosis of nervous system
00109 A179    1 Tuberculosis of nervous system, unspecified                  Tuberculosis of nervous system, unspecified
00110 A18     0 Tuberculosis of other organs                                 Tuberculosis of other organs
00111 A180    0 Tuberculosis of bones and joints                             Tuberculosis of bones and joints
00112 A1801   1 Tuberculosis of spine                                        Tuberculosis of spine
00113 A1802   1 Tuberculous arthritis of other joints                        Tuberculous arthritis of other joints
00114 A1803   1 Tuberculosis of other bones                                  Tuberculosis of other bones
00115 A1809   1 Other musculoskeletal tuberculosis                           Other musculoskeletal tuberculosis
00116 A181    0 Tuberculosis of genitourinary system                         Tuberculosis of genitourinary system
00117 A1810   1 Tuberculosis of genitourinary system, unspecified            Tuberculosis of genitourinary system, unspecified
00118 A1811   1 Tuberculosis of kidney and ureter                            Tuberculosis of kidney and ureter
00119 A1812   1 Tuberculosis of bladder                                      Tuberculosis of bladder
00120 A1813   1 Tuberculosis of other urinary organs                         Tuberculosis of other urinary organs
00121 A1814   1 Tuberculosis of prostate                                     Tuberculosis of prostate
